bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	cluster	pct_counts_mt_below_15
34_21_60__s1	680	988	1311	19.433199	0	0
34_21_63__s1	2240	4218	5680	19.231682	6	0
34_21_85__s1	1130	1899	2549	22.97155	4	0
34_22_03__s1	2877	5773	7797	18.13615	0	0
34_22_36__s1	1125	1847	2486	19.674797	0	0
34_22_68__s1	851	1288	1724	18.570318	6	0
34_22_93__s1	1264	1952	2627	15.948717	0	0
34_23_02__s1	565	851	1103	23.501762	0	0
34_23_18__s1	935	1474	2053	17.639076	0	0
34_23_25__s1	803	1206	1563	19.237146	5	0
34_23_38__s1	2041	3436	4698	17.967384	5	0
34_23_47__s1	987	1476	2006	17.084745	0	0
34_23_48__s1	1255	2151	2879	23.059042	0	0
34_23_60__s1	1086	1854	2433	24.770643	0	0
34_23_66__s1	1215	2146	2861	23.718546	0	0
34_24_01__s1	793	1199	1583	20.116861	0	0
34_24_92__s1	2450	4857	6550	19.91351	6	0
34_25_09__s1	694	984	1338	17.479675	0	0
34_25_93__s1	1119	1492	1989	9.261745	2	1
34_26_15__s1	797	1200	1578	16.583334	0	0
34_26_34__s1	798	1261	1664	23.076923	0	0
34_26_38__s1	1574	2642	3527	14.880727	4	1
34_26_47__s1	1560	2541	3453	15.151516	5	0
34_26_68__s1	1358	2165	2883	13.025405	0	1
34_26_75__s1	1201	1799	2354	12.784881	0	1
34_27_62__s1	1709	3194	4177	22.69881	0	0
34_27_63__s1	1301	1890	2490	13.386244	3	1
34_27_64__s1	889	1341	1786	16.853094	4	0
34_27_71__s1	687	976	1295	18.545082	0	0
34_27_81__s1	1322	2137	2841	16.003744	4	0
34_27_90__s1	2234	3989	5384	13.436953	5	1
34_27_95__s1	1183	1901	2591	21.748287	2	0
34_28_01__s1	1028	1565	2084	14.504792	3	1
34_28_57__s1	541	803	1083	20.79701	1	0
34_28_59__s1	1181	1934	2593	19.762028	0	0
34_28_63__s1	1189	1921	2585	20.24987	0	0
34_28_75__s1	1306	2144	2883	19.123135	0	0
34_28_86__s1	1134	1590	2094	11.006289	3	1
34_29_13__s1	1388	2417	3238	23.758278	4	0
34_29_50__s1	957	1512	2023	18.915344	0	0
34_29_66__s1	1473	2469	3301	16.288492	0	0
34_29_71__s1	992	1648	2209	22.633495	0	0
34_29_80__s1	888	1299	1757	21.324095	2	0
34_29_92__s1	613	846	1086	15.484634	0	0
34_30_07__s1	1057	1651	2207	16.89885	0	0
34_30_23__s1	929	1363	1828	15.418503	0	0
34_30_53__s1	1089	1795	2413	21.78273	6	0
34_31_02__s1	935	1378	1796	16.32801	0	0
34_31_43__s1	1610	3121	4171	21.057692	1	0
34_31_53__s1	1512	2613	3516	17.872177	0	0
34_31_58__s1	679	918	1189	14.052288	0	1
