bc_wells	gene_count	tscp_count	mread_count	pct_counts_mt	leiden	pct_counts_mt_below_7
80_01_65	490	566	581	5.8303885	1	1
80_02_41	360	418	426	6.235012	0	1
80_02_83	437	495	505	4.040404	2	1
80_02_88	407	491	508	3.869654	0	1
80_04_15	517	586	598	5.8020477	0	1
80_04_19	511	611	628	6.8852463	1	1
80_04_68	386	464	478	6.4794817	0	1
80_05_64	456	542	552	7.777778	0	0
80_06_81	735	869	888	4.4879174	1	1
80_07_75	324	369	376	3.2608695	0	1
80_07_89	767	928	955	5.926724	0	1
80_08_28	330	382	393	5.235602	1	1
80_09_29	594	714	735	7.2931275	1	0
80_10_57	499	595	611	7.058824	0	0
80_10_63	353	391	397	6.1538463	1	1
80_10_95	372	426	444	4.9295774	0	1
80_11_17	317	344	360	4.678363	0	1
80_11_92	335	404	417	7.920792	0	0
80_13_35	339	382	387	4.973822	0	1
80_13_89	344	381	396	3.4120734	0	1
80_13_93	561	639	657	4.231975	1	1
80_16_13	600	704	722	6.2588906	2	1
80_18_72	459	520	534	5.009634	1	1
80_18_84	370	413	422	2.6699028	0	1
80_19_05	316	356	369	5.0561795	0	1
80_20_88	333	413	423	4.842615	0	1
80_21_53	449	529	548	6.2381854	1	1
80_22_29	348	392	400	5.6122446	0	1
80_22_87	820	1035	1059	5.5072465	0	1
80_24_75	374	435	448	4.367816	2	1
80_25_03	325	388	402	5.412371	0	1
80_25_23	486	582	593	3.6144576	0	1
80_25_28	444	525	535	7.0610685	0	0
80_25_31	881	1064	1096	6.2205467	2	1
80_25_53	896	1107	1134	5.9620595	1	1
80_25_94	322	361	372	5.2777777	0	1
80_26_03	412	475	488	4.631579	2	1
80_26_82	325	385	394	3.6458333	0	1
80_27_09	535	616	630	4.390244	0	1
80_27_62	848	1029	1056	5.550146	1	1
80_28_79	341	392	399	4.0816326	2	1
80_29_35	345	396	408	5.5696206	0	1
80_30_28	314	360	371	6.9444447	1	1
80_30_53	883	1117	1134	4.3906813	0	1
80_31_12	820	981	1003	3.98773	1	1
80_31_29	331	387	394	5.684755	1	1
80_31_31	361	435	441	3.4482758	2	1
80_31_32	707	842	868	6.666667	2	1
80_31_37	2017	2992	3076	5.1943703	2	1
80_33_39	970	1207	1244	4.888152	0	1
80_33_95	393	465	471	5.806452	0	1
80_33_96	360	425	435	5.882353	0	1
80_35_36	353	401	415	3.990025	0	1
80_35_59	453	515	520	3.6893203	1	1
80_36_10	1440	1944	1982	5.506948	0	1
80_37_69	343	390	396	5.912596	0	1
80_37_93	373	438	445	7.0776253	0	0
80_38_92	588	717	734	5.9972105	0	1
80_39_27	387	459	466	3.7037036	0	1
80_39_48	676	857	877	7.117853	0	0
80_39_65	813	977	1001	4.5128202	0	1
80_39_78	316	368	373	5.706522	2	1
80_39_89	1379	1832	1877	6.768559	1	1
80_40_11	519	607	631	3.6243823	1	1
80_40_17	372	434	442	6.221198	0	1
80_40_48	374	419	428	4.784689	0	1
80_40_61	470	558	570	5.9139786	0	1
80_40_70	552	692	707	8.827786	2	0
80_40_92	369	442	454	4.7511315	0	1
80_41_75	328	376	388	2.9255319	1	1
80_42_29	348	383	391	3.1331592	1	1
80_42_49	409	478	489	5.0209208	0	1
80_42_61	301	340	352	5.6213017	0	1
80_44_50	318	351	366	5.4131055	1	1
80_44_95	349	387	398	3.3678756	0	1
80_46_37	367	429	435	5.1282053	0	1
80_46_64	595	690	708	3.9130435	0	1
80_47_18	452	526	538	2.851711	2	1
80_47_51	361	418	430	2.8708134	2	1
80_48_50	300	330	334	3.3333335	1	1
80_48_84	313	343	351	6.122449	0	1
80_48_96	364	438	441	6.3926945	1	1
80_49_75	344	396	405	5.063291	0	1
80_50_59	395	440	450	4.100228	1	1
80_50_61	320	366	374	3.8251367	0	1
80_51_65	689	846	871	6.8801894	0	1
