bc_wells	mread_count
02_78_34	407
02_78_49	518
02_78_93	360
02_79_01	988
02_79_03	939
02_79_17	3732
02_79_24	2017
02_79_32	701
02_79_33	472
02_79_42	1112
02_79_51	1830
02_79_53	1064
02_79_79	2017
02_79_83	608
02_80_23	253
02_80_46	0
02_80_60	748
02_80_90	0
02_81_10	1446
02_81_20	4515
02_81_66	2114
02_81_74	910
02_81_82	594
02_81_90	753
02_82_09	363
02_82_10	3499
02_82_21	2084
02_82_27	1028
02_82_31	651
02_82_47	2523
02_82_55	365
02_82_91	1181
02_83_15	701
02_83_26	1807
02_83_41	551
02_83_46	1351
02_83_48	462
02_83_64	363
02_83_71	1414
02_83_79	0
02_83_89	391
02_83_95	1415
02_83_96	281
02_84_26	977
02_84_37	421
02_84_49	429
02_84_52	3521
02_84_62	0
02_84_71	784
02_84_87	760
02_84_90	766
02_85_30	1547
02_85_48	910
02_85_64	1298
02_85_68	2429
02_85_77	4272
02_85_91	1598
02_86_15	1599
02_86_21	242
02_86_30	1244
02_86_47	164
02_86_48	351
02_86_56	953
02_86_64	1628
02_86_72	200
02_86_81	1043
02_86_93	338
02_86_95	3494
02_87_07	2626
02_87_38	1964
02_87_66	11663
02_87_81	1885
02_87_86	818
02_87_90	955
02_88_10	543
02_88_30	1384
02_88_33	1338
02_88_41	375
02_88_53	550
02_88_60	3787
02_88_73	1574
02_88_79	665
02_88_81	2339
02_89_15	326
02_89_20	1951
02_89_24	710
02_89_25	554
02_89_30	535
02_89_35	1723
02_89_51	5354
02_89_56	1653
02_89_94	1265
02_90_06	14
02_90_07	2266
02_90_17	1380
02_90_25	167
02_90_33	673
02_90_38	1261
02_90_40	2903
02_90_43	3044
02_90_44	826
02_90_47	1362
02_90_53	2096
02_90_64	2445
02_90_90	1741
02_90_95	409
02_91_22	1040
02_91_28	0
02_91_30	1714
02_91_55	881
02_91_74	335
02_92_04	346
02_92_38	2637
02_92_49	1064
02_92_53	640
02_92_61	870
02_92_62	2177
02_92_66	0
02_92_75	1515
02_92_84	1368
02_92_86	33
02_92_91	1101
02_93_14	1825
02_93_21	404
02_93_55	2794
02_93_61	1720
02_94_09	2290
02_94_15	2850
02_94_22	0
02_94_33	523
02_94_40	2032
02_94_42	780
02_94_45	1651
02_94_81	3179
02_94_83	2356
02_94_86	0
02_94_87	8205
02_94_88	25
02_94_91	328
02_95_24	1193
02_95_41	423
02_95_53	757
02_95_72	250
02_96_95	2118
03_01_27	1495
03_01_36	5123
03_01_46	0
03_01_58	6504
03_01_63	114
03_02_07	517
03_02_08	1595
03_02_13	3873
03_02_30	465
03_02_36	67
03_02_45	1831
03_02_50	679
03_02_75	1256
03_03_02	534
03_03_07	363
03_03_17	1023
03_03_20	2240
03_03_33	1794
03_03_42	1694
03_03_49	457
03_03_87	367
03_04_07	1799
03_04_29	4691
03_04_41	3330
03_04_55	1568
03_04_61	257
03_04_76	1182
03_04_87	783
03_04_94	583
03_05_12	2712
03_05_19	710
03_05_24	0
03_05_36	843
03_05_54	331
03_05_78	1891
03_05_82	1384
03_06_48	726
03_06_62	7268
03_06_64	0
03_06_71	5080
03_06_88	1034
03_06_95	1777
03_07_02	730
03_07_03	1063
03_07_35	1231
03_07_45	597
03_07_53	1408
03_07_86	0
03_07_92	1376
03_08_37	286
03_08_84	0
03_08_87	2192
03_08_94	2502
03_08_95	466
03_09_01	69
03_09_03	741
03_09_04	0
03_09_05	1947
03_09_12	141
03_09_16	1037
03_09_29	1784
03_09_31	473
03_09_35	141
03_09_48	1241
03_09_54	233
03_09_60	268
03_09_65	335
03_09_69	363
03_09_76	456
03_09_77	612
03_10_27	5920
03_10_64	850
03_10_65	1643
03_10_71	1783
03_10_75	223
03_10_86	2066
03_11_15	1209
03_11_18	104
03_11_24	488
03_11_40	300
03_11_48	1437
03_11_56	630
03_11_57	325
03_11_61	1241
03_11_63	500
