guide,bc_wells
guide_A,04_60_35
guide_A,04_60_84
guide_A,04_61_06
guide_A,04_61_37
guide_A,04_61_43
guide_A,04_61_57
guide_A,04_61_85
guide_A,04_62_06
guide_A,04_63_66
guide_A,04_63_75
guide_A,04_64_05
guide_A,04_64_08
guide_A,04_64_43
guide_A,04_64_76
guide_A,04_65_19
guide_A,04_67_02
guide_A,04_67_15
guide_A,04_67_40
guide_A,04_67_46
guide_A,04_68_01
guide_A,04_68_43
guide_A,04_68_52
guide_A,04_68_85
guide_A,04_69_14
guide_A,04_69_65
guide_A,04_70_26
guide_A,04_70_36
guide_A,04_70_38
guide_A,04_70_51
guide_A,04_70_77
guide_A,04_70_93
guide_A,04_71_15
guide_A,04_71_27
guide_A,04_71_78
guide_A,04_72_02
guide_A,04_72_05
guide_A,04_72_09
guide_A,04_72_65
guide_A,04_72_76
guide_A,04_73_66
guide_A,04_74_14
guide_A,04_74_20
guide_A,04_74_26
guide_A,04_74_28
guide_A,04_74_50
guide_A,04_74_82
guide_A,04_75_06
guide_A,04_75_52
guide_A,04_76_01
guide_A,04_76_30
guide_A,04_76_47
guide_A,04_77_01
guide_A,04_77_35
guide_A,04_77_86
guide_A,04_78_85
guide_A,04_80_05
guide_A,04_80_51
guide_A,04_80_74
guide_A,04_80_75
guide_A,04_80_81
guide_A,04_81_16
guide_A,04_81_30
guide_A,04_81_34
guide_A,04_81_40
guide_A,04_81_69
guide_A,04_82_08
guide_A,04_82_41
guide_A,04_82_70
guide_A,04_82_73
guide_A,04_83_09
guide_A,04_83_12
guide_A,04_83_51
guide_A,04_84_47
guide_A,04_84_61
guide_A,04_84_85
guide_A,04_84_86
guide_A,04_85_30
guide_A,04_85_31
guide_A,04_85_75
guide_A,04_85_83
guide_A,04_85_93
guide_A,04_86_06
guide_A,04_86_29
guide_A,04_86_73
guide_A,04_86_76
guide_A,04_86_88
guide_A,04_86_89
guide_A,04_87_64
guide_A,04_87_90
guide_A,04_88_07
guide_A,04_88_47
guide_A,04_88_48
guide_A,04_88_82
guide_A,04_89_04
guide_A,04_89_21
guide_A,04_89_22
guide_A,04_89_48
guide_A,04_89_82
guide_A,04_90_19
guide_A,04_90_25
guide_A,04_90_42
guide_A,04_90_45
guide_A,04_90_76
guide_A,04_91_07
guide_A,04_91_86
guide_A,04_92_55
guide_A,04_93_11
guide_A,04_93_41
guide_A,04_93_48
guide_A,04_93_78
guide_A,04_93_92
guide_A,04_94_04
guide_A,04_94_20
guide_A,04_94_40
guide_A,04_94_46
guide_A,04_94_59
guide_A,04_94_70
guide_A,04_94_79
guide_A,04_95_52
guide_A,05_02_15
guide_A,05_02_26
guide_A,05_02_27
guide_A,05_02_40
guide_A,05_02_53
guide_A,05_04_24
guide_A,05_04_76
guide_A,05_04_85
guide_A,05_04_88
guide_A,05_05_61
guide_A,05_06_12
guide_A,05_06_14
guide_A,05_06_17
guide_A,05_06_27
guide_A,05_06_32
guide_A,05_06_43
guide_A,05_07_09
guide_A,05_08_03
guide_A,05_08_52
guide_A,05_08_69
guide_A,05_08_72
guide_A,05_09_01
guide_A,05_09_79
guide_A,05_10_02
guide_A,05_10_17
guide_A,05_10_44
guide_A,05_10_65
guide_A,05_10_68
guide_A,05_10_72
guide_A,05_11_17
guide_A,05_11_95
guide_A,05_12_84
guide_A,05_13_29
guide_A,05_13_81
guide_A,05_14_10
guide_A,05_14_19
guide_A,05_14_32
guide_A,05_14_47
guide_A,05_14_94
guide_A,05_15_39
guide_A,05_15_56
guide_A,05_16_26
guide_A,05_16_37
guide_A,05_16_38
guide_A,05_16_41
guide_A,05_16_81
guide_A,05_17_55
guide_A,05_17_66
guide_A,05_17_73
guide_A,05_18_23
guide_A,05_18_28
guide_A,05_18_95
guide_A,05_19_07
